f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,iqa
2.7133174566675446,2.012087353970155,1.9189538706635747,2.195106722574485,2.5692761182683257,-2.3576732296960667,2.206264713260798,0.6895962526258735,-2.150670110092838,3.5940559642988887,2.041000215648507,0.15312383798976067,-38.046751866
2.653427951116463,2.2197697671905616,1.9819579308424522,2.158576461771045,2.6581629821061576,-2.3672411136120033,2.330794690523567,0.8785765692584464,-2.293287722073311,3.39461373754745,1.484190692029803,0.6153976058364955,-38.039760674
2.7372826276343436,2.0470166963421454,1.9032043887556644,2.1743769358492964,2.457003979160603,-2.258849555068773,2.043654452502142,0.645292475585929,-2.23821862338439,3.3730938839552165,0.95098547915789,0.0657801868789699,-38.04358306
2.6277875415998633,1.913554304520724,1.9234397946842001,2.1368074997719977,2.2933581242968444,-2.3547279156980396,2.080191900501946,0.5571727553432567,-2.117869373416536,3.47577161185039,2.15755397780865,0.059749890564594996,-38.03477087
2.6509568395802616,2.0393365847989666,1.904985383870275,2.004137007610871,2.495972967101433,-2.3640465272305486,2.1149795295796596,0.664588927182026,-2.356482841269846,3.405952795975715,1.8639850312908604,-0.5217587545229094,-38.036707671
2.6568149643031216,2.1743975019476958,1.9911207683434946,2.054116634926019,2.554986288225211,-2.546365743097244,2.148389884385768,0.7896540851490204,-2.169987440229698,3.7195981024049662,2.0091996318989187,-0.23947157832269733,-38.041178174
2.744786166482052,2.2316161560681897,1.95600668420563,2.117114077028903,2.5676107165766657,-2.150671829450921,2.150640118816191,0.5841068850422233,-2.593363139627592,3.8637279892769167,1.4520202040153614,0.41761653967014695,-38.047599771
2.5641766546822993,2.156238936438896,1.9905190813183822,2.135745679295655,2.5483474036867357,-2.490343497907278,2.1893684129609983,0.7919765582879694,-2.2424907388133977,3.661147319198273,2.0255122221683797,-0.1559669196375474,-38.038809464
2.6932676428442552,2.0778104520339244,1.7672671655307606,2.2733080905179146,2.6250520510401123,-2.254599516240712,2.2033066874901897,0.7227949537308013,-2.189929318221253,3.7261909296128426,1.078487196591497,-0.13550990023509107,-38.052407949
2.7646345348172527,2.2205251506767234,1.7366455890949768,2.391468898804279,2.5556669515435164,-2.3841594716759267,2.046466295755208,0.634704266811407,-2.110341626887596,3.679031115235555,1.904616766278465,0.4179140157658996,-38.051476456
2.8312332076946696,2.234457350301371,1.9960575388687403,1.8754556287489526,2.74788433552707,-1.9224614319803366,2.091863485351087,0.7199237699802183,-2.181973684112603,3.7844332236697205,1.1487826815787985,-0.22649375938552502,-38.045902181
2.7886007012468994,1.963496492832858,1.9800746059912266,2.2948309518466052,2.797299392877607,-1.4926204523191202,2.1354047214354077,1.0513698473087554,-2.1000549576974907,3.529940023547705,1.0944286116153046,0.25138542735451896,-38.052911404
2.789235998075974,2.1260403939042796,2.010563725603181,2.118336872395823,2.811059824612126,-1.7417284043874222,2.1633001066177213,1.1524499315211874,-2.153108617807444,3.531024751722006,1.0877201927465818,0.2985250583864928,-38.056576423
2.4828301816648817,1.9992408362815879,2.0671213373453035,2.2816268833855875,2.5520820031669715,-2.5296563371440426,2.000074938808185,0.670518447977592,-2.4743457352661853,3.7254658336268753,1.5188908037740452,-0.47491282347540464,-38.026881916
3.0124937584975164,2.265217187073912,1.7770641881846707,1.9907716444058157,2.4347752364185897,-2.060314694712269,2.1581628447574914,0.4884013119677015,-2.122473567290607,4.022093839039002,1.3719248844812906,-0.41045408046782006,-38.062097791
2.9570543039248,2.044328781781135,1.9877848609292386,2.1162023069390443,2.532363751617711,-2.2088723242227486,2.1496503880519464,0.5798937217514364,-2.2703225540988257,4.226581058193825,1.4042262711102258,-0.35460052827461847,-38.051817884
2.6550738429143124,2.109290094942135,1.8950029903915602,2.2492504010421155,2.418311241486255,-2.318096845344042,2.005830543176341,0.7628908468655009,-2.072056495243773,3.9979948623051977,1.7250243765322046,-0.35512655110802954,-38.039968481
2.6681168429112474,2.214197703666846,1.9113398883695485,2.243667796442334,2.506394062246908,-2.364243289753056,2.036841219847159,0.9037392190484519,-2.1361413421315043,3.791045368352546,1.4938293126310003,-0.4616106506019323,-38.04203348
2.9498134138198475,1.8873923875491732,1.633654126384295,2.058436167401045,2.674453337380253,-2.3179079214522234,2.0553478455876903,0.600307928792121,-1.8257830518766092,3.519739567640679,1.5648001527224227,-0.5659563811313776,-38.055229538
2.8343347872832223,2.0324199784987926,1.5549950044826042,2.0262311128822303,2.52503916043262,-2.221125331839494,2.0686968708367863,0.5177506888981327,-2.0168186381398265,3.6333243700330953,1.4829978668998338,-0.5196765756802504,-38.059013907
2.732951362268393,1.9900705462284427,2.065382044822184,2.1656935581762657,2.4994856267981755,-2.5448039096666384,2.0891587608266255,0.8159070913913782,-2.32137840477193,3.3636561845497446,1.5588013500596156,-0.6021565716090708,-38.035846823
2.6975441324327725,2.0719795599091313,1.8178111287201884,2.1796766852551177,2.5817542355568657,-2.339610806154907,2.2427680355237096,0.6514778656116244,-2.277841790721881,4.007880568472961,1.5589072518334717,-0.38981306735536736,-38.047508076
2.705181272449215,2.2157266390412675,1.9134361879265536,2.1593846739314957,2.671554057918591,-2.1190907608131413,2.2053098852545054,0.7120711993257076,-2.355273271133044,3.7548983934609206,1.6488422344068214,-0.49451634414513435,-38.050824495
2.6211816216650803,1.9853009829328503,1.844017289458392,2.141555679546697,2.4730611116351446,-2.2249418142001347,2.4144700743851883,0.5934804988961152,-2.192712549260789,3.707056076052013,1.5032064209022016,-0.5023275455003218,-38.041306779
2.6392540486427962,2.195160227869033,1.8300697327893267,2.07630700033788,2.4920854030291073,-2.2477276420843184,1.8761000874921405,0.49004496669796765,-2.1233391760604117,3.819010206621543,1.5038968363609346,-0.4259372384044095,-38.038272826
2.8598136645671333,2.152930792323827,2.1471779147770813,2.0233207794686243,2.474584217529015,-2.4788995921238004,1.9599828980616325,0.6371155462739672,-2.0495989412170537,3.8598508944785968,1.802349542951004,-0.4217306279646171,-38.041903802
2.766114165101731,2.2087818617533386,1.94748806930941,2.126109416323344,2.588595719311534,-2.431632913260125,2.23941599223726,0.6485814175804613,-2.255450601081988,3.631629315638106,1.8127074357121673,-0.4710849268698673,-38.051667542
2.6765122919036246,2.141915215187185,1.843896128313076,2.013427722636701,2.3783468840394253,-2.2457841966043603,1.9851620789771003,0.4084861808871071,-3.038385958602795,3.7676863244690812,1.7065676980244409,-0.4254624359865717,-38.04018285
2.8095381942617315,2.372724776367713,1.891184111953712,2.120506525392245,2.356651971212232,-2.0979736122177135,2.100316015790448,0.5719184260266983,-2.167369373807835,3.431936120725395,2.093236865758671,-0.1882469273107666,-38.053888333
2.696234133956792,2.226751856707857,2.14317442234985,2.14173054072317,1.9967778710873898,-2.0149022616729324,2.1069376007002236,0.23354636340612422,-1.6610981447501079,3.748099250348631,2.006574020708712,0.3121672837904226,-38.053222391
2.7020283121271707,2.177917721756566,1.7574748750212927,2.2375268924901937,2.391672960453895,-2.948731168918747,2.2444155347669286,0.45430065341403564,-2.3288688005712856,3.911926338288583,1.4587736128948077,-0.47328444657946805,-38.046487253
