,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,iqa
0,2.8013327096664584,2.9265873129292226,1.854832874229124,2.1560922121240234,2.5434196775551006,-2.3158283959981762,2.066202728517953,0.7184242035247433,-2.1689413973656593,4.913928208736179,1.484255550247873,-0.42746609079106423,4.671883031463253,1.63683658769996,1.4276432631149945,4.604836058737466,1.5434608013282443,2.4014764556410855,7.332805799343392,1.4883900186162384,2.316086638658071,5.917450983065166,1.4757403908613667,-0.8217329732263853,7.253097271417737,1.5159799768315134,-0.14431059835151006,8.343683771048433,1.2844388058300897,2.4168588669328157,8.347358806938564,1.700440505387698,2.4184921537978936,7.970451265350213,1.4966491098582226,2.05058177337022,7.934233596356353,1.7624183610819275,-0.06827093740267802,8.91628258028783,1.4699064632775583,-0.29134526827612467,7.860964948912679,1.3490111475858426,0.06281329440993472,3.978877030267518,1.550506464038784,0.4660510939987075,4.533835785866861,1.604092278631487,2.821675148648524,-38.078321684
1,2.78902963753024,2.9091601929479602,1.9257657964379171,2.0624393477709075,2.5445570871106256,-2.1593363410072035,1.987609238055336,0.6357504274809276,-2.245208680198664,5.001051582023718,1.5678567636606093,-0.39981599807165863,4.593881865742245,1.56471936331828,1.4884381609189958,4.58492736960475,1.483842244430805,2.439620974172022,7.107449409253958,1.4055478267658106,2.2897362938793613,5.923108949039171,1.5251179660108316,-0.7894250989169944,7.3691115377714,1.6163169902918189,-0.13669699071798933,7.537843722636358,1.2772480613194552,2.035667988670412,8.273086123422228,1.2699732282313871,2.4719997060560686,8.265265917622953,1.6366229900039317,2.2863336691578673,8.105725549865147,1.3795412706645955,-0.055192794470494445,7.509707211794737,1.764522589210116,0.07954968021801224,8.87972698319035,1.6968049546432211,-0.28565405377957037,3.8095763342298863,1.6191047686754139,0.5031877792863998,4.6183410545311165,1.5302002594052764,2.858345872890457,-38.07194086
2,2.7841630920806963,2.8916693995839644,1.9651814046866194,2.086947355304031,2.5185632242105456,-2.3612045531069623,2.04973968933742,0.7869835458040143,-2.0908657109758937,5.022833761762079,1.7143284924214501,-0.37743198298552677,4.715926949868898,1.6338298834772012,1.5635605673045316,4.409687570199698,1.6212771967605677,2.526646303681805,6.947135748386592,1.7943788343401446,2.435625219185794,5.86544630465495,1.8576625861389677,-0.7770055086520837,7.3091247997948035,1.7550225589546844,-0.07266918169156958,8.125311252460637,1.8516705711804087,2.6618499656970904,7.452599036301134,1.9985477046948057,2.2325729251720223,8.342922576803815,1.6005692131438412,2.3674480332651364,8.869325680464563,1.8269869005503212,-0.20946447792316292,8.138040595022797,1.5362334834161477,0.05662137303800194,7.528253869796165,1.9578196403000776,0.12070980837478157,3.8263300545090138,1.4734708283931979,0.4610997597958863,4.481902156070168,1.5414260909392175,2.963500321866792,-38.07159859
3,2.784690824973998,2.8969316585214084,2.0001253863377566,2.1013151212309524,2.6135051455676472,-2.2073256265622936,2.0086579812549674,0.6088012707630658,-2.3165563803485054,4.942846271528893,1.7110181463024812,-0.40804767612614107,4.600887054462342,1.5741712615708465,1.560571265879277,4.508825944497137,1.488828316418874,2.5340759462774196,7.240219740904034,1.4865471873489302,2.4184696698357517,5.724388745006273,1.7525538646207346,-0.8228559013567687,7.309733502260965,1.7301253190831256,-0.12332844853001106,8.034633925085322,1.3063615576390744,2.2257011416342,8.401925091535965,1.435471762974145,2.6425177723657187,8.166969121667135,1.7129265601087682,2.3539436218403464,8.962960052426997,1.6726348679082357,-0.25643401962408036,7.373132580897249,1.5575947319985843,0.1060975041780004,8.154182679882295,1.9613941406368918,-0.013374686519697756,3.8853178131887147,1.4989418766567664,0.49932641828422336,4.526353654942713,1.4106821767898514,2.9583970204330305,-38.071714653
4,2.7483765129962485,2.926019247859658,1.8836700223806915,2.0257943382022883,2.5779247447337275,-2.1028467332906753,2.0572105748429634,0.6620543751392385,-2.21204765279174,4.827366692875847,1.6248977847210198,-0.4368519506566428,4.777018707135338,1.403354995597686,1.5325534642667817,4.500108503149125,1.7692374116602998,2.465427736749052,7.124093552711795,1.6642109456376515,2.376466127977531,5.673730471317675,1.6166720405589523,-0.84484459108203,7.16383534314247,1.650690597812365,-0.15803499565377205,7.602708746412825,1.4074225095547725,2.304023066409526,8.436944870602106,1.739154893446981,2.562824272523126,8.020625033885457,1.8140029657523862,2.164622020076703,7.754301590314917,1.912334497363788,-0.1293287255328967,8.780922286279631,1.5564437800784001,-0.29274870832251226,7.676830674706733,1.550731457500732,0.08316952306338872,3.8862441735139277,1.6546832578914301,0.4810227445782901,4.49969067924154,1.950167229208571,2.877613547172474,-38.070613968
5,2.8145508833181943,2.8196708560490538,1.9439237404091076,2.0756506073275816,2.4385900085617362,-1.9172700605648616,2.079472521814365,0.4717497572806236,-2.2786783393016026,5.004329108490346,1.6828975487465216,-0.414166080687657,4.457903180290813,1.5814688865196018,1.470662845545463,4.509672530724231,1.6059493886138465,2.4862541052787988,7.220618793990927,1.6198603969333332,2.352374683400329,5.9344266723316235,1.7049840998253758,-0.7981709757079652,7.472941492631799,1.654708979073799,-0.16222852352027384,7.795923299056453,1.5197392028181587,2.105979323328103,8.383357782130858,1.4755784208603362,2.501730213815611,8.176771570464561,1.8590527333949163,2.389356470069965,7.692661911270305,1.611801256023433,0.12287814059948482,8.93088445106604,1.8234156623608169,-0.23160431030576115,8.525522396637903,1.449412058775779,-0.2608744119937509,3.870197857188586,1.4971783001379793,0.47211145951365663,4.604578584496552,1.6960124478200163,2.907934462894261,-38.081325664
6,2.9118220860303694,2.884327569166392,1.8499309980215781,2.0965614994605226,2.534699545479337,-2.2429447104309816,2.0385669746302524,0.5868853382443521,-2.0513675628086743,5.078246170721767,1.6394626674726158,-0.4001091313589234,4.516173066418874,1.4796967169905144,1.3886203859636856,4.563962867254238,1.6482655457326312,2.3650593020128494,7.174018167800952,1.6638701976813401,2.228750841491889,5.852756405612823,1.7305665203613458,-0.7791683399823044,7.561031588973998,1.5986687424768766,-0.1554162167107409,7.7165256133367155,1.7572519583322275,1.967057891416689,8.182516993486836,1.4388558084393868,2.245332409563519,8.305211344260046,1.7971497392575293,2.409983221776794,9.129818674081626,1.6434145829483924,-0.31906133750003124,7.870188919229981,1.3279186558979155,-0.08511710307400415,7.9403346414084846,1.754436007214819,0.06991161207292146,3.880929319219575,1.463614519297788,0.509651665725644,4.526283065437735,1.7180853808815217,2.7781345911013053,-38.083793949
7,2.794456427777336,2.887870659261977,1.887947227846809,1.9765297689092716,2.5402546488847566,-2.200569509066107,2.040016025024447,0.5229559016108617,-2.3805383812795893,4.9642860715135155,1.6062998571053275,-0.3804123735100026,4.495266031211766,1.4957474050954833,1.4563914147017905,4.560986225887647,1.6337377126368722,2.4426083573718347,7.238335372259641,1.4917382986255916,2.3372439913082856,5.7861985206456445,1.7285180466078094,-0.7736854661629848,7.42815933422506,1.5630066043000308,-0.1102254914599444,8.5486207638369,1.665377564150554,2.2070232125131106,7.6120162150681745,1.291863838211886,2.161911577230276,8.450291292908977,1.4043358430738218,2.5519690842831126,7.323865145337575,1.5842877667177753,0.16768248713319744,8.817675731977697,1.7315361600125703,-0.16461572664350715,8.510035991664031,1.341396672475382,-0.16360725634447534,3.797215975764764,1.5536093984971224,0.5173782398540696,4.501131670624795,1.7500224924158558,2.835450873207167,-38.070393063
8,2.884443316393936,2.7969191537682105,1.975199847586137,2.128949885943969,2.510888890797257,-2.2780738242691787,2.029235040838786,0.5652650459539319,-1.9372729812357266,4.922080728846599,1.4679884798350116,-0.41859578893100663,4.472097462136654,1.5497133249621071,1.5240640078084944,4.499462109576362,1.6877608187581277,2.5450931446765463,7.267337572679054,1.6817694867600266,2.432220597642893,5.60203341470209,1.4039630123347042,-0.8413732055677573,7.474941811016782,1.4811018248561476,-0.1787174985458992,7.966254508876483,1.887911001301141,2.2866882305671243,8.057906092257392,1.480676178980566,2.2942757982121607,8.700879849545444,1.6944635289129915,2.6319889917193127,8.409829257305132,1.255176077813598,-0.13974545152206674,7.842636853523507,1.6252345236583159,0.05532678833492028,8.739419659095974,1.5997373363767056,-0.3463961355006815,4.130657753334621,1.5945475192701821,0.46141569575225955,4.588118825080479,1.572120215075422,2.9568860166507784,-38.080200858
9,2.773442046937185,2.8649151762935823,1.9390604899540178,1.980628613300497,2.6030682619133523,-2.1413955068985033,2.1271593650974907,0.640536898684851,-2.451200939505978,5.000985868992009,1.5752626005441086,-0.41646125402226963,4.5572162865855805,1.5770969681840687,1.508495830602263,4.720038815507661,1.4758814038578967,2.4823700327738516,7.367627755895735,1.4642905037669118,2.3270589776583486,5.864905606248814,1.5184903844453277,-0.8161813760167571,7.458753801649418,1.5640439294371444,-0.15786749766866223,8.167360894587237,1.6971168710560938,2.2884127709428648,7.801662842554564,1.34498620996744,2.0718255328598754,8.583998914719237,1.3320671469265897,2.507717345297283,7.950137098651046,1.7640756211529127,-0.0006790992474649002,8.920585027600877,1.5636326917862,-0.331146481547444,8.158595729212326,1.3562651731750848,-0.029229533902858238,4.067644591682796,1.7124389750225362,0.44379578616648957,5.000615251803351,1.491102329095189,2.871031844274584,-38.068960119
