f1,f2,f3,f4,f5,f6,iqa
2.0874003705275253,1.9581913576251142,1.8615789310946573,1.852744460645571,0.6644388145626101,-2.1434517793478594,-54.962159312
1.935379536425115,1.990246088273758,1.8857672492175142,1.916774886761572,0.5286355181984579,-2.1061564569709805,-54.963547517
2.212020321541912,1.9282971209805357,1.7558850623667486,1.8540389452388177,0.33001459813617007,-3.1399496397225293,-54.94632507
2.5377649422860156,1.868095737675624,1.5546640185016378,2.0117600825182462,0.349243978205674,-2.4890778671531204,-54.92655499
1.6077848584728178,2.0056592897134684,1.9986806928252503,1.839450865822909,0.5616567761468904,-2.372059722283892,-54.940530909
2.264126139103385,2.0206512473262803,1.9211237403593946,2.358279757448858,0.26873864392349717,-1.4812318241888425,-54.928737316
1.9384232234387104,1.723474567527245,2.1066676899729915,1.826598064998699,0.5592965076806632,-2.1127944618818626,-54.957059567
1.8628699065912617,1.9585178669964691,1.7688759129271918,1.9319442904906636,0.4491043437114637,-2.728550194774584,-54.959519991
2.0389078353969152,1.9309008607105105,2.446945471160655,1.9987500237064464,0.6154585962944471,-1.9514395591718539,-54.967917854
2.010006009034363,1.9511622463868232,2.078324038001346,2.1283197488764602,0.009377346037790689,1.5413636703840035,-54.951673754
2.1293516794840537,1.9941175990782312,2.0148447210791693,1.9657038804293216,0.3527388858407095,-2.676671496037336,-54.955376089
1.9635194208012234,1.9306637822998511,2.3001371001583966,1.8565608883762543,0.3816320297994236,-2.4353786457739814,-54.964949766
2.0038762186827417,1.8841753062873163,2.0766699220133304,1.9511161669466164,0.1653633878281529,3.140798561524336,-54.957716136
1.8812694712858038,2.053040827761056,1.3723061526409694,1.991791488709149,0.446697147397893,-2.140332736572903,-54.953278978
1.9249880937985433,2.2419980179326315,1.57252764415252,2.02071223758289,0.3547731724771141,-2.554469873126439,-54.945096131
1.7820404440058393,1.8810124004949074,1.869717457514588,1.9279753354538154,1.0909309236929836,-2.0789965085378683,-54.969156386
2.036041810418874,1.926846784464184,2.1465356752901257,2.114360720276511,0.9225667916238821,-2.1744227765660247,-54.966858071
1.856713152959217,1.9342217130170078,1.951006634846604,1.658931830669383,0.944560199950036,-1.9314355494662847,-54.95543587
